"Country or Area","Year(s)","Variant","Value"
"Iceland","2069","Medium","404.393"
"Iceland","2069","High","470.555"
"Iceland","2069","Low","344.781"
"Iceland","2069","Constant fertility","409.182"
"Iceland","2069","Instant replacement","461.517"
"Iceland","2069","Zero migration","379.236"
"Iceland","2069","Constant mortality","380.373"
"Iceland","2069","No change","385.161"
"Iceland","2069","Momentum","410.452"
"Iceland","2069","Instant replacement zero migration","434.159"
"Iceland","2069","Median PI","404.393"
"Iceland","2069","Upper 80 PI","443.518"
"Iceland","2069","Lower 80 PI","370.24"
"Iceland","2069","Upper 95 PI","466.917"
"Iceland","2069","Lower 95 PI","351.524"
"Iceland","2068","Medium","405.095"
"Iceland","2068","High","469.007"
"Iceland","2068","Low","347.166"
"Iceland","2068","Constant fertility","409.7"
"Iceland","2068","Instant replacement","460.445"
"Iceland","2068","Zero migration","380.553"
"Iceland","2068","Constant mortality","381.838"
"Iceland","2068","No change","386.445"
"Iceland","2068","Momentum","410.842"
"Iceland","2068","Instant replacement zero migration","433.808"
"Iceland","2068","Median PI","405.095"
"Iceland","2068","Upper 80 PI","443.068"
"Iceland","2068","Lower 80 PI","371.725"
"Iceland","2068","Upper 95 PI","465.17"
"Iceland","2068","Lower 95 PI","353.617"
"Iceland","2067","Medium","405.731"
"Iceland","2067","High","467.442"
"Iceland","2067","Low","349.479"
"Iceland","2067","Constant fertility","410.157"
"Iceland","2067","Instant replacement","459.305"
"Iceland","2067","Zero migration","381.81"
"Iceland","2067","Constant mortality","383.243"
"Iceland","2067","No change","387.672"
"Iceland","2067","Momentum","411.171"
"Iceland","2067","Instant replacement zero migration","433.396"
"Iceland","2067","Median PI","405.73"
"Iceland","2067","Upper 80 PI","442.263"
"Iceland","2067","Lower 80 PI","373.346"
"Iceland","2067","Upper 95 PI","463.369"
"Iceland","2067","Lower 95 PI","355.642"
"Iceland","2066","Medium","406.305"
"Iceland","2066","High","465.857"
"Iceland","2066","Low","351.731"
"Iceland","2066","Constant fertility","410.558"
"Iceland","2066","Instant replacement","458.108"
